Date,Price,Open,High,Low,Vol.,Change %
"Dec 23, 2003",243.75,245,245.5,243.5,40.12K,-1.02%
"Dec 22, 2003",246.25,248,248,246,25.73K,-1.20%
"Dec 19, 2003",249.25,251.75,251.75,246.5,34.67K,-0.10%
"Dec 18, 2003",249.5,251,251,248.25,29.85K,-0.80%
"Dec 17, 2003",251.5,251.5,252.25,250,26.77K,-0.20%
"Dec 16, 2003",252,253,254,249.75,36.58K,-0.59%
"Dec 15, 2003",253.5,254.5,254.5,248.5,47.57K,-0.49%
"Dec 12, 2003",254.75,253.5,255,251,3.58K,1.09%
"Dec 11, 2003",252,250.5,253,247,6.54K,0.90%
"Dec 10, 2003",249.75,250.75,250.75,248.5,7.25K,0.00%
"Dec 09, 2003",249.75,248.5,250,247,9.04K,1.22%
"Dec 08, 2003",246.75,245.75,249,245.5,8.08K,0.10%
"Dec 05, 2003",246.5,245.5,247,243.75,7.66K,-0.10%
"Dec 04, 2003",246.75,249.75,250.75,246.5,9.73K,-1.00%
"Dec 03, 2003",249.25,246.5,250,246,21.30K,1.42%
"Dec 02, 2003",245.75,245.75,247,244.25,15.46K,-0.30%
"Dec 01, 2003",246.5,247,247.5,244.5,21.15K,0.61%
"Nov 28, 2003",245,244,245.5,242.75,21.02K,1.03%
"Nov 26, 2003",242.5,240.5,243.25,240.25,38.14K,1.25%
"Nov 25, 2003",239.5,234,240,233.25,55.73K,2.02%
"Nov 24, 2003",234.75,234.5,236.25,233.75,46.10K,-0.53%
"Nov 21, 2003",236,234.5,237,232.75,60.46K,0.32%
"Nov 20, 2003",235.25,231.25,235.5,230.5,57.67K,1.73%
"Nov 19, 2003",231.25,235.5,236.25,231,59.76K,-1.91%
"Nov 18, 2003",235.75,237.5,239.25,234.5,52.02K,-1.05%
"Nov 17, 2003",238.25,240,241.75,236.5,48.74K,-0.94%
"Nov 14, 2003",240.5,240.5,242,239.25,38.44K,-0.10%
"Nov 13, 2003",240.75,240.25,244.25,239,51.84K,0.21%
